Date,China,US,United_Kingdom,Italy,France,Germany,Spain,Iran
1/22/20,548,1,0,0,0,0,0,0
1/23/20,643,1,0,0,0,0,0,0
1/24/20,920,2,0,0,2,0,0,0
1/25/20,1406,2,0,0,3,0,0,0
1/26/20,2075,5,0,0,3,0,0,0
1/27/20,2877,5,0,0,3,1,0,0
1/28/20,5509,5,0,0,4,4,0,0
1/29/20,6087,6,0,0,5,4,0,0
1/30/20,8141,6,0,0,5,4,0,0
1/31/20,9802,8,2,2,5,5,0,0
2/1/20,11891,8,2,2,6,8,1,0
2/2/20,16630,8,2,2,6,10,1,0
2/3/20,19716,11,8,2,6,12,1,0
2/4/20,23707,11,8,2,6,12,1,0
2/5/20,27440,11,9,2,6,12,1,0
2/6/20,30587,12,9,2,6,12,1,0
2/7/20,34110,12,9,3,6,13,1,0
2/8/20,36814,12,13,3,11,13,1,0
2/9/20,39829,12,14,3,11,14,2,0
2/10/20,42354,12,14,3,11,14,2,0
2/11/20,44386,13,15,3,11,16,2,0
2/12/20,44759,13,16,3,11,16,2,0
2/13/20,59895,14,17,3,11,16,2,0
2/14/20,66358,14,18,3,11,16,2,0
2/15/20,68413,14,18,3,12,16,2,0
2/16/20,70513,14,18,3,12,16,2,0
2/17/20,72434,14,19,3,12,16,2,0
2/18/20,74211,14,19,3,12,16,2,0
2/19/20,74619,14,20,3,12,16,2,2
2/20/20,75077,14,22,3,12,16,2,5
2/21/20,75550,16,23,20,12,16,2,18
2/22/20,77001,16,23,62,12,16,2,28
2/23/20,77022,16,28,155,12,16,2,43
2/24/20,77241,16,30,229,12,16,2,61
2/25/20,77754,16,34,322,14,17,6,95
2/26/20,78166,16,37,453,18,27,13,139
2/27/20,78600,17,44,655,38,46,15,245
2/28/20,78928,17,56,888,57,48,32,388
2/29/20,79356,25,61,1128,100,79,45,593
3/1/20,79932,32,94,1694,130,130,84,978
3/2/20,80136,55,134,2036,191,159,120,1501
3/3/20,80261,74,189,2502,212,196,165,2336
3/4/20,80386,107,246,3089,288,262,222,2922
3/5/20,80537,184,295,3858,426,482,259,3513
3/6/20,80690,237,374,4636,616,670,400,4747
3/7/20,80770,403,429,5883,948,799,500,5823
3/8/20,80823,519,483,7375,1125,1040,673,6566
3/9/20,80860,594,630,9172,1411,1176,1073,7161
3/10/20,80887,782,889,10149,1783,1457,1695,8042
3/11/20,80921,1147,1301,12462,2293,1908,2277,9000
3/12/20,80932,1586,1790,15113,2293,2078,2277,10075
3/13/20,80945,2219,2270,17660,3681,3675,5232,11364
3/14/20,80977,2978,2634,21157,4496,4585,6391,12729
3/15/20,81003,3212,3077,24747,4532,5795,7798,13938
3/16/20,81033,4679,3692,27980,6683,7272,9942,14991
3/17/20,81058,6512,4462,31506,7715,9257,11748,16169
3/18/20,81102,9169,5467,35713,9124,12327,13910,17361
3/19/20,81156,13663,6533,41035,10970,15320,17963,18407
3/20/20,81250,20030,7791,47021,12758,19848,20410,19644
3/21/20,81305,26025,9006,53578,14463,22213,25374,20610
3/22/20,81435,34898,10395,59138,16758,24873,28768,21638
3/23/20,81498,46136,12744,63927,20123,29056,35136,23049
3/24/20,81591,56755,15126,69176,22372,32986,39885,24811
3/25/20,81661,68837,17843,74386,25334,37323,49515,27017
3/26/20,81782,86693,20970,80589,29252,43938,57786,29406
3/27/20,81897,105383,24219,86498,33047,50871,65719,32332
3/28/20,81999,125013,27062,92472,37692,57695,73235,35408
3/29/20,82122,143912,29954,97689,40295,62095,80110,38309
3/30/20,82198,165987,34281,101739,44649,66885,87956,41495
3/31/20,82279,192301,38815,105792,52278,71808,95923,44605
4/1/20,82361,224544,43789,110574,57122,77872,104118,47593
4/2/20,82432,256779,48718,115242,59228,84794,112065,50468
4/3/20,82511,289066,53699,119827,64452,91159,119199,53183
4/4/20,82543,321482,57772,124632,47378,96092,126168,55743
4/5/20,82602,351359,61422,128948,48233,100123,131646,58226
4/6/20,82665,382740,66738,132547,50887,103374,136675,60500
4/7/20,82718,413507,72224,135586,47396,107663,141942,62589
4/8/20,82809,444699,77387,139422,51251,113296,148220,64586
4/9/20,82883,480640,82293,143626,55035,118181,153222,66220
4/10/20,82941,515055,86660,147577,56600,122171,158273,68192
4/11/20,83014,544185,90273,152271,58045,124908,163027,70029
4/12/20,83134,571440,93812,156363,108791,127854,166831,71686
4/13/20,83213,598370,98017,159516,111932,130072,170099,73303
4/14/20,83306,627151,102365,162488,129380,131359,172541,74877
4/15/20,83356,652591,107465,165155,132588,134753,177644,76389
4/16/20,83403,682626,112808,168941,145166,137698,184948,77995
4/17/20,83760,715656,117798,172434,147057,141397,190839,79494
4/18/20,83787,743588,122534,175925,150863,143342,191726,80868
4/19/20,83805,769684,126394,178972,151955,145184,198674,82211
4/20/20,83817,799512,131260,181228,154402,147065,200210,83505
4/21/20,83853,825429,136035,183957,157068,148291,204178,84802
